iter	RMSE
0	2.511372602
1	2.283524849
2	2.082446665
3	1.897288641
4	1.729451905
5	1.582103867
6	1.4479223
7	1.330631204
8	1.226257095
9	1.131600863
10	1.049011423
11	0.9785141027
12	0.9141569777
13	0.8580452279
14	0.8111372935
15	0.7669053072
16	0.7290630083
17	0.696569669
18	0.6693633234
19	0.6455923777
20	0.6240855376
21	0.6072631619
22	0.5932864498
23	0.5797217532
24	0.5682002941
25	0.5591440724
26	0.5509485503
27	0.5433725492
28	0.5356495034
29	0.5300344278
30	0.5256581493
31	0.5214290596
32	0.5178824175
33	0.5142183666
34	0.5113223188
35	0.5082133201
36	0.5062425973
37	0.5034066009
38	0.5016496956
39	0.4994076386
40	0.4976035288
41	0.4959206793
42	0.4949597447
43	0.4936269454
44	0.4923478453
45	0.4906785642
46	0.4892416538
47	0.4883475051
48	0.4869193995
49	0.4845122644
50	0.4832059336
51	0.4821021371
52	0.4803228398
53	0.4791173368
54	0.478266243
55	0.4771057914
56	0.4763614856
57	0.475342108
58	0.4744847876
59	0.4739950589
60	0.473483521
61	0.4729481774
62	0.4719711746
63	0.4707411868
64	0.4702168582
65	0.4691238122
66	0.4685492185
67	0.4680065124
68	0.4671078582
69	0.4666125557
70	0.4657710085
71	0.4653791958
72	0.4644806064
73	0.4636024935
74	0.4626634424
75	0.4622559012
76	0.4616897632
77	0.4613827939
78	0.4606850526
79	0.4598984262
80	0.4591431339
81	0.4580361498
82	0.4572031819
83	0.4561714357
84	0.4556434728
85	0.4549797282
86	0.454475303
87	0.4536309559
88	0.4528378728
89	0.4524520637
90	0.451963437
91	0.4514825744
92	0.450733541
93	0.4498571023
94	0.448650929
95	0.4479627256
96	0.4474494467
97	0.446838278
98	0.4465019292
99	0.4459777497
100	0.4456582294
101	0.4451363144
102	0.4445536074
103	0.4442895845
104	0.4436265442
105	0.4431424627
106	0.4424116859
107	0.4411958358
108	0.4403586097
109	0.4395243809
110	0.4391577647
111	0.4385342096
112	0.4374436261
113	0.4370255875
114	0.4365607462
115	0.4361585499
116	0.4358390414
117	0.4354113343
118	0.4346830901
119	0.4338239109
120	0.4330740864
121	0.4326688995
122	0.4322247207
123	0.4318136313
124	0.4311539888
125	0.430373499
126	0.4294061471
127	0.429149942
128	0.4285429083
129	0.4280097671
130	0.4275599955
131	0.427095243
132	0.42638288
133	0.4258223443
134	0.4250186932
135	0.4242892397
136	0.4235408391
137	0.4229962817
138	0.4224861678
139	0.4221590128
140	0.4217208525
141	0.4211426815
142	0.420569338
143	0.4201487364
144	0.4197404843
145	0.4191337545
146	0.4186683641
147	0.4181794404
148	0.4178405056
149	0.4170405546
150	0.4163350038
151	0.4158514392
152	0.4150495388
153	0.414772868
154	0.4141154556
155	0.4138788492
156	0.4132701109
157	0.4127188785
158	0.4121387623
159	0.4117745658
160	0.4108769182
161	0.4103594235
162	0.4097506549
163	0.4091159111
164	0.4086318618
165	0.4083220128
166	0.4079628317
167	0.4076917573
168	0.4071048602
169	0.4066866099
170	0.4062769903
171	0.4057128193
172	0.4051489523
173	0.4049426741
174	0.404465893
175	0.4037896042
176	0.4035133296
177	0.403025312
178	0.4025874303
179	0.4023076847
180	0.4019799931
181	0.401735002
182	0.4012212206
183	0.4007457275
184	0.4002403039
185	0.4000222852
186	0.3993660059
187	0.398930021
188	0.3983023785
189	0.398044896
190	0.397639718
191	0.3971634277
192	0.3966401488
193	0.3961052632
194	0.3956510852
195	0.3951343302
196	0.3948755673
197	0.3945176716
198	0.3942442276
199	0.3938716166
