iter	Passed	Remaining
0	62	12497
1	73	7284
2	76	5028
3	89	4394
4	99	3872
5	108	3507
6	113	3124
7	120	2885
8	125	2653
9	129	2459
10	134	2316
11	139	2179
12	143	2060
13	148	1971
14	153	1887
15	157	1810
16	162	1749
17	168	1701
18	172	1647
19	181	1630
20	185	1580
21	189	1532
22	193	1490
23	198	1455
24	204	1430
25	209	1399
26	214	1373
27	219	1345
28	223	1317
29	228	1292
30	238	1301
31	244	1282
32	249	1260
33	253	1236
34	258	1217
35	263	1200
36	267	1179
37	272	1159
38	277	1145
39	282	1129
40	286	1112
41	292	1098
42	296	1083
43	301	1067
44	305	1051
45	316	1059
46	321	1045
47	326	1034
48	331	1020
49	335	1006
50	340	993
51	345	984
52	350	971
53	355	960
54	360	951
55	366	941
56	372	933
57	378	926
58	382	914
59	387	903
60	392	894
61	396	883
62	401	873
63	406	864
64	411	854
65	416	844
66	421	837
67	426	827
68	430	817
69	435	809
70	442	803
71	446	794
72	452	786
73	457	779
74	461	769
75	465	759
76	471	753
77	476	745
78	486	744
79	492	738
80	497	730
81	504	725
82	509	717
83	513	708
84	519	702
85	524	694
86	528	686
87	533	678
88	539	673
89	544	665
90	550	659
91	555	651
92	559	644
93	564	637
94	574	635
95	582	631
96	588	624
97	594	618
98	602	615
99	610	610
100	616	604
101	625	601
102	636	599
103	644	595
104	649	588
105	659	584
106	664	577
107	671	571
108	680	568
109	688	563
110	700	561
111	711	559
112	726	559
113	736	555
114	746	551
115	754	546
116	769	545
117	778	540
118	791	538
119	809	539
120	822	537
121	828	529
122	836	523
123	845	518
124	852	511
125	864	507
126	873	502
127	886	498
128	904	498
129	910	490
130	921	485
131	933	481
132	941	474
133	957	471
134	981	472
135	992	467
136	997	458
137	1007	452
138	1020	447
139	1029	441
140	1037	434
141	1045	426
142	1052	419
143	1061	412
144	1082	410
145	1098	406
146	1110	400
147	1117	392
148	1124	384
149	1135	378
150	1145	371
151	1157	365
152	1164	357
153	1174	350
154	1186	344
155	1196	337
156	1221	334
157	1228	326
158	1236	318
159	1257	314
160	1273	308
161	1285	301
162	1293	293
163	1301	285
164	1309	277
165	1317	269
166	1324	261
167	1335	254
168	1342	246
169	1352	238
170	1365	231
171	1371	223
172	1379	215
173	1389	207
174	1405	200
175	1418	193
176	1425	185
177	1433	177
178	1441	169
179	1451	161
180	1468	154
181	1497	148
182	1511	140
183	1527	132
184	1538	124
185	1549	116
186	1563	108
187	1574	100
188	1582	92
189	1593	83
190	1611	75
191	1633	68
192	1654	59
193	1670	51
194	1692	43
195	1722	35
196	1730	26
197	1738	17
198	1747	8
199	1765	0
